px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.37151	-11.1625	-3.19864	-1.21916	-0.889706	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.310437
4.37641	-11.056	-2.6903	-1.29602	-0.920248	4.43713	-11.024	4.45	-11.05	0	1.81614	12.7582
4.37043	-10.9105	-2.67399	-1.36666	-0.94069	4.45136	-10.93	4.45	-10.95	0	1.81612	0.415571
4.3482	-10.7641	-2.68989	-1.42079	-0.942831	4.44745	-10.786	4.45	-10.8	0	2.72555	0.115781
4.36382	-10.6166	-2.67729	-1.49514	-0.965662	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.570737
4.36132	-10.4735	-2.67622	-1.55015	-0.967623	4.46329	-10.5756	4.45	-10.5	0	2.729	0.234519
4.38294	-10.3251	-2.67585	-1.61762	-0.981955	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.206913
4.40385	-10.183	-2.65248	-1.67915	-0.990375	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.201907
4.45705	-10.0333	-2.66583	-1.75731	-1.01383	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.516583
4.48887	-9.88694	-2.71172	-1.80919	-1.00717	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.471411
4.55701	-9.73875	-2.73171	-1.88463	-1.02689	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.394062
4.58399	-9.57162	-2.87413	-1.90925	-0.983852	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.96398
4.66669	-9.42555	-2.88902	-1.98084	-1.00096	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.427533
4.74728	-9.28828	-2.87494	-2.04742	-1.01426	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.410833
4.858	-9.14024	-2.92553	-2.12401	-1.03415	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.502306
4.94496	-9.01693	-2.92412	-2.18279	-1.04342	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.0768001
5.03134	-8.90949	-2.90589	-2.23602	-1.04463	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.093317
5.10673	-8.78075	-2.93079	-2.25871	-0.994714	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.74788
5.2287	-8.65075	-2.9685	-2.32013	-1.00065	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.116682
5.33211	-8.54426	-2.9727	-2.36789	-0.996562	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0458066
